,title_year,start_year,runtime_minutes,genres,averagerating,numvotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,Unknown,War,Western,release_date,production_budget,domestic_gross,worldwide_gross,total_gross,gross_less_budget
1040,Me and Earl and the Dying Girl (2015),2015,105.0,"Comedy,Drama,Romance",7.8,112627,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015-06-12,8000000,6758416,9266180,16024596,8024596
142,The Bounty Hunter (2010),2010,110.0,"Action,Comedy,Romance",5.6,112444,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010-03-19,45000000,67061228,135808837,202870065,157870065
741,Safety Not Guaranteed (2012),2012,86.0,"Comedy,Drama,Romance",7.0,111907,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2012-06-08,750000,4010957,4422318,8433275,7683275
97,The Thing (2011),2011,103.0,"Horror,Mystery,Sci-Fi",6.2,111900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2011-10-14,38000000,16999934,27573078,44573012,6573012
1204,The Disaster Artist (2017),2017,104.0,"Biography,Comedy,Drama",7.4,111737,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-01,10000000,21120616,28717667,49838283,39838283
465,Contraband (2012),2012,109.0,"Action,Crime,Drama",6.5,111709,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-01-13,25000000,66528000,98406855,164934855,139934855
1029,Wonder (2017),2017,113.0,"Drama,Family",8.0,111632,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-17,20000000,132422809,304604712,437027521,417027521
33,"Hail, Caesar! (2016)",2016,106.0,"Comedy,Drama,Music",6.3,111422,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2016-02-05,22000000,30080225,64160680,94240905,72240905
628,Carnage (2011),2011,80.0,"Comedy,Drama",7.2,111372,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-12-16,25000000,2546747,38112154,40658901,15658901
1036,Get Hard (2015),2015,100.0,"Comedy,Crime",6.0,111187,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-03-27,40000000,90411453,106511453,196922906,156922906
574,Johnny English Reborn (2011),2011,101.0,"Action,Adventure,Comedy",6.3,110824,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-10-21,45000000,8406711,164640401,173047112,128047112
945,Wild (2014),2014,115.0,"Adventure,Biography,Drama",7.1,110138,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-12-03,15000000,37880356,52460543,90340899,75340899
875,The Walk (2015),2015,123.0,"Adventure,Biography,Drama",7.3,109714,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-30,35000000,10161183,61492104,71653287,36653287
58,R.I.P.D. (2013),2013,96.0,"Action,Adventure,Comedy",5.6,109078,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-07-19,130000000,33618855,79076678,112695533,-17304467
18,Shazam! (2019),2019,132.0,"Action,Adventure,Comedy",7.4,109051,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-04-05,85000000,139606856,362899733,502506589,417506589
360,In the Heart of the Sea (2015),2015,122.0,"Action,Adventure,Biography",6.9,108628,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-12-11,100000000,25020758,89693309,114714067,14714067
75,Priest (2011),2011,87.0,"Action,Adventure,Fantasy",5.7,108320,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-05-13,60000000,29136626,84154026,113290652,53290652
1442,The Post (2017),2017,116.0,"Biography,Drama,History",7.2,108017,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-12-22,50000000,81903458,179748880,261652338,211652338
337,If I Stay (2014),2014,107.0,"Drama,Fantasy,Music",6.8,107625,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2014-08-22,11000000,50474843,78356170,128831013,117831013
589,The Dark Tower (2017),2017,95.0,"Action,Adventure,Fantasy",5.7,107518,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-08-04,60000000,50701325,113461527,164162852,104162852
548,Margin Call (2011),2011,107.0,"Drama,Thriller",7.1,107264,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011-10-21,3400000,5353586,20433227,25786813,22386813
74,Valentine's Day (2010),2010,125.0,"Comedy,Romance",5.7,107171,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010-02-12,52000000,110485654,217569328,328054982,276054982
234,Let Me In (2010),2010,116.0,"Drama,Fantasy,Horror",7.1,107012,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-10-01,20000000,12134935,28270399,40405334,20405334
1284,The Shallows (2016),2016,86.0,"Drama,Horror,Thriller",6.3,106927,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2016-06-24,13000000,55121623,118763442,173885065,160885065
160,Blended (2014),2014,117.0,"Comedy,Romance",6.5,106491,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014-05-23,45000000,46290741,127990741,174281482,129281482
1402,Logan Lucky (2017),2017,118.0,"Comedy,Crime,Drama",7.0,105966,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-08-18,29000000,27778642,44264271,72042913,43042913
